Input 1,Input 2,Input 3,Input 4,Input 5,y
190.39392085277484,589276.3923439714,10183.667410878454,0.286821279395009,1908.4972639879184,3744.8931933965664
190.3939208527748,591130.4020633299,10306.572617345742,0.3065355469879257,2238.1233672303933,3906.912258697305
190.39392085277484,591645.9796536299,10291.105024623363,0.3607590938726119,2184.7741057476,3658.3827936580215
190.39392085277484,590962.3511135578,10336.957572219351,0.4564610428571009,2998.877316713333,4117.79117604691
190.39392085277484,591167.124112447,10260.169839178601,0.583378472114757,2961.5312814710746,4183.575561223156
195.15376887409423,591718.0666079123,10265.325703419396,0.618159151340817,3715.728720029432,3973.414562561932
195.15376887409423,591519.164563053,10321.428842766842,0.6062035593420516,3382.330760359764,3665.6282875223833
190.39392085277484,589588.3608298997,10183.667410878454,0.6817563521507483,4836.707375943661,3960.453150743044
295.11057732180103,590521.0739208593,10199.073866870705,0.30186471174411506,3322.0,3874.596580255482
295.1105773218009,592297.5587969025,10183.667410878454,0.3828053855006606,4512.0,3774.1388518128356
299.8704253431204,591190.9571347329,10204.209352201457,0.47526597607110055,5503.0,4140.215641170659
299.8704253431204,582291.9593917001,10224.078789493049,0.611807924776505,9227.0,4347.730764785626
290.35072930048165,590592.9021744265,10290.371383861828,0.5686201188581159,6493.0,4352.1841144374175
299.8704253431204,587429.714202881,10290.371383861828,0.7090443936990654,10719.0,4671.977865829824
299.8704253431204,587774.2311192884,10209.344837532208,0.8069048087749247,12621.0,5667.393564936888
380.78784170554974,593816.3751736282,10270.481567660188,0.17196139629165003,3492.0,3657.2567365086034
380.78784170554974,590519.2535808858,10270.481567660188,0.2570687997858304,5937.0,3929.687502247991
380.78784170554974,589680.1594851745,10260.169839178601,0.33557997174507104,6455.0,3825.8993685885825
380.7878417055497,587347.4473754566,10188.802896209205,0.4032057668472731,9082.0,4356.867193718973
380.7878417055497,587369.7033979826,10301.416753104948,0.4761172168263545,10850.0,4732.297511132994
380.7878417055497,585620.4415981967,10204.209352201457,0.5938923221284829,16946.0,5293.286937589701
385.547689726869,582649.8149169815,10280.793296141777,0.6251454443903698,15756.0,5952.763230639708
190.39392085277487,475929.9727955033,10306.572617345742,0.33157295628069555,1243.7946030070534,3239.271911144112
195.15376887409425,478117.1,10291.105024623363,0.3849422259180164,1641.3999999999262,3242.9576028610604
190.39392085277484,478417.4444774787,10322.04021006812,0.43403266187359635,1954.8874762323364,3381.807705500322
190.39392085277487,477939.411013254,10311.07635646517,0.5157713978172033,3074.555258665335,3444.323811692267
195.1537688740942,478733.77415996324,10209.344837532208,0.5691220303818081,3866.8155097044023,3432.3341290227095
190.39392085277487,477928.59170585853,10275.637431900983,0.6780741298565222,4586.530849337933,3537.2953952422226
285.59088127916226,477045.1280521228,10270.481567660188,0.35939018416587015,4478.0,3380.785513591404
285.5908812791622,476586.15385492647,10234.390517974636,0.46603437852841756,6037.0,3443.867088253532
285.59088127916226,474834.16746624495,10331.781329068514,0.5578678500684302,8410.0,3750.5661705676116
285.5908812791623,475563.55,10260.169839178601,0.5878329772462809,8983.0,3735.300405316172
285.5908812791623,474382.5204670432,10188.802896209205,0.6837180704575961,10071.0,3746.0210979551675
290.35072930048165,474503.84075442964,10255.013974937812,0.7017958838891274,12601.0,3820.1193496606475
285.5908812791623,473330.4351050819,10219.61580819371,0.7410534099912712,12944.0,4418.33267061613
380.78784170554974,477478.92872947786,10193.938381539954,0.2417717330051888,4944.0,3425.4971023270396
380.78784170554974,473489.3898790081,10265.325703419396,0.29965516464603814,6883.0,3448.3296439543833
380.7878417055497,474891.22216190596,10275.637431900983,0.375966415029973,8145.0,3974.327266168756
380.78784170554974,472070.33625907346,10270.481567660188,0.48850413709675355,11954.0,3973.967069866024
380.7878417055497,472169.97354601824,10270.481567660188,0.5409054654647502,13459.0,4293.420795031743
380.7878417055497,471203.9178133839,10280.793296141777,0.5739852743062592,14149.0,4371.163942434656
380.78784170554974,474432.9632259907,10305.900113314337,0.5881106621922764,15587.0,4827.707073412093
371.26814566291097,472901.0842740537,10280.793296141777,0.6198630885725229,16572.0,5723.197532202986
190.39392085277484,589529.334381223,14647.54538226312,0.3242694959923389,1747.9993402959692,3770.6753764471987
190.39392085277484,590804.7721805898,14665.173139450024,0.44075616093856124,3166.860816153516,3785.7309637224475
190.39392085277484,591969.6039002803,14867.63761072386,0.5346331942534066,2834.692390428728,3789.900526988058
190.39392085277484,592356.1829659673,14886.284313412894,0.6252778429502364,3413.4214123088923,3799.0046458385996
195.15376887409423,590084.1309999428,14917.362151227953,0.6599676546854392,4722.22454845923,3830.242481026232
190.39392085277484,590806.8367208425,14647.54538226312,0.7030586944943954,5155.465064140685,3873.661215649009
190.39392085277484,589192.4982890487,14836.5597729088,0.8192712350424238,6096.556575761625,3962.6594006738633
299.8704253431204,584479.4136368566,14824.128637782778,0.79,13752.0,6558.809471185409
299.8704253431204,585236.3977995184,14793.050799967721,0.66,11881.0,5181.8504920506475
295.11057732180103,589306.8117851561,14830.344205345791,0.51,7988.0,4274.837166750042
285.5908812791622,587767.5133672627,14898.715448538915,0.53,8420.0,4434.87825966305
290.35072930048165,588389.4602250722,14855.206475597835,0.45,5905.0,4416.42579187956
295.110577321801,588389.8689722022,14873.853178286872,0.4,5824.0,4039.671540642857
295.110577321801,592958.7590197723,14941.327749438124,0.36,5254.0,4069.780551961888
285.59088127916226,591558.9656680821,14886.284313412894,0.29,4147.0,3716.964883111844
285.59088127916226,591147.864361604,14726.921236879285,0.25,3968.0,3649.062627087225
380.7878417055496,589967.7358567715,14763.134560025093,0.1898886675457277,4122.0,3852.7348813317426
385.547689726869,588088.3869197633,14831.281635207755,0.2546998762657869,5699.0,3960.5737576957154
380.7878417055497,591850.5534529685,14787.91531463697,0.2777501451738226,6842.0,4031.6982836523175
380.7878417055497,589435.3313371539,14812.696069248848,0.4040864160123774,8734.0,4406.143589072502
380.7878417055497,590955.5406055669,15084.00049864679,0.4463496681363366,8414.0,4651.011369912825
