ANN,fit_time,score_time,test_R2,train_R2,test_RMSE,train_RMSE,test_MAE,train_MAE,test_MAPE,train_MAPE,test_Bias%,train_Bias%,test_WAPE%,train_WAPE%,test_Pearson-R,train_Pearson-R
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.9843082427978516,0.011667092641194662,-0.012556960831445233,-7.34285806491819e-05,-5779.446237604982,-5770.380983615912,-4787.133037018034,-4749.900121188535,-0.8338614971729145,-0.8264528539175727,0.007681167752264369,0.009993804141553563,-0.5057465128544446,-0.5005638839834969,0.8719928809689329,0.8863115703130416
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.4099734624226888,0.013670047124226889,-0.012204464860563332,-5.875250970036975e-05,-5778.879630844283,-5770.339176662247,-4794.934496263141,-4757.67679661831,-0.8387777780265852,-0.8314010465232696,0.00281604125491672,0.005123686292673987,-0.5065983924027564,-0.5013873415766513,0.08185473410684795,0.07131069780703028
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.3876230716705322,0.013507604598999023,-0.012204411329881593,-5.874333935558992e-05,-5778.879536347954,-5770.339150212425,-4794.935514346823,-4757.677807609248,-0.8387784366288406,-0.8314017087164229,0.0028153822104768377,0.00512302669095262,-0.5065985037045178,-0.5013874486480426,0.08185362433249214,0.07130958002540343
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",0.3271005153656006,0.011998573939005533,-0.011800138504707661,-5.986899864751649e-11,-5778.172546258938,-5770.169678110433,-4802.715345758519,-4765.426623842376,-0.843867573630175,-0.8365200701219058,-0.0023013284276326407,1.4407131074206836e-06,-0.5074493982211647,-0.5022081572763614,0.326452335473782,0.4259386350689382
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",0.28641661008199054,0.015178759892781576,-0.011800138504707661,-5.986899864751649e-11,-5778.172546258938,-5770.169678110433,-4802.715345758519,-4765.426623842376,-0.843867573630175,-0.8365200701219058,-0.0023013284276326407,1.4407131074206836e-06,-0.5074493982211647,-0.5022081572763614,0.326452335473782,0.4259386350689382
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",0.2579042116800944,0.014002720514933268,-0.011800138504707661,-5.986899864751649e-11,-5778.172546258938,-5770.169678110433,-4802.715345758519,-4765.426623842376,-0.843867573630175,-0.8365200701219058,-0.0023013284276326407,1.4407131074206836e-06,-0.5074493982211647,-0.5022081572763614,0.326452335473782,0.4259386350689382
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.0755309263865153,0.013003269831339518,-0.011391270588160992,-0.0003462634691237347,-5777.960741168987,-5771.16858548306,-4822.888641965058,-4784.730510565124,-0.8555417178561449,-0.8481799869935167,-0.013753715287336417,-0.011462085001346253,-0.5096413501454898,-0.5042559344395021,0.10409917735500974,0.092949872083267
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.08135787645975749,0.016181071599324543,-0.011391188776354033,-0.00034660993569731363,-5777.961050993629,-5771.16958475656,-4822.900658302146,-4784.742443337961,-0.8555485986434467,-0.8481869040522788,-0.013760465979318355,-0.011468840810639237,-0.509642654875489,-0.5042572011072098,0.10413452307708145,0.09298600486877184
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (10, 10)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.033683061599731445,0.01166685422261556,-0.008732480213562025,0.0001665462350677697,-5773.109145805025,-5769.637704029184,-4882.570200983391,-4844.152604275159,-0.8927239823444802,-0.885508392541233,-0.052991521122361225,-0.05072250598334015,-0.5161503411805907,-0.510567436095276,0.08348606611812119,0.0827195632498024
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (10, 10)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.034683624903361,0.010507424672444662,-0.008730207819500105,0.00016875834293835398,-5773.10278737424,-5769.631301799946,-4882.569912662053,-4844.1522083251775,-0.892725346006352,-0.8855097273795662,-0.05299411522197258,-0.050725096167313584,-0.5161503238435707,-0.5105673967744644,0.08348739149730294,0.0827207281188632
