ANN,fit_time,score_time,test_R2,train_R2,test_RMSE,train_RMSE,test_MAE,train_MAE,test_MAPE,train_MAPE,test_Bias%,train_Bias%,test_WAPE%,train_WAPE%,test_Pearson-R,train_Pearson-R
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (10, 10)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.13623634974161783,0.05272094408671061,-0.018737557581049075,-6.097433441528318e-05,-1102.8449964906304,-1096.8712322207055,-903.4841455611894,-897.5633676867478,-0.19494846609186603,-0.19382172153166252,-0.019470789249862945,-0.018932013290818683,-0.18633487674579738,-0.18517955836289224,0.0845534687428018,0.07415285487791318
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (10, 10)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.03184278806050619,0.012666463851928711,-0.018735882014058996,-5.8957852922351485e-05,-1102.8440419971544,-1096.8701207951883,-903.4836750174076,-897.5628599784953,-0.19494853312741597,-0.19382178084496837,-0.019471690641145595,-0.0189329163709608,-0.18633477992847328,-0.18517945378948517,0.08455309340035518,0.07415290190831954
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (20, 20)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.06233382225036621,0.018518368403116863,-0.0170363379776044,-0.0013391708070409718,-1102.566822579661,-1097.5839595400337,-898.4649112432235,-894.3527795109891,-0.18922675173629153,-0.18846989773218423,0.005488074997854274,0.006017552355710253,-0.18525761003627528,-0.18451310644637486,0.028201844246436996,0.007089429678275441
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (20, 20)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.22913805643717447,0.04872488975524902,-0.0170361955671392,-0.0013390332137687884,-1102.566743757429,-1097.5838843576466,-898.4649156541635,-894.3527747847666,-0.1892267848249298,-0.1884699290000069,0.005487888376197018,0.006017365367020521,-0.18525761161539953,-0.18451310559445966,0.028201942436685768,0.007089432382199165
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.1173713207244873,0.014179865519205729,-0.016867923448057914,-0.00034835799584076454,-1102.2726643744552,-1097.0425914843352,-900.5698511529786,-895.8048736047355,-0.19158424915772965,-0.19069458808865666,-0.004800922247045772,-0.004266564635219994,-0.18571175647770247,-0.18481461198040353,0.076621195397288,0.060764937032008394
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.3354491392771403,0.06887539227803548,-0.016867331994948536,-0.00034801087193447877,-1102.2724015133538,-1097.042401265698,-900.5692039521737,-895.804485290805,-0.19158365578307437,-0.19069404772000262,-0.004798495086413175,-0.00426413930936245,-0.1857116188521768,-0.1848145316271297,0.07658849226516573,0.06072808791578371
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",1.2906752427419026,0.048327366511027016,-0.016089900672260498,-1.297397300703551e-09,-1101.9472408229628,-1096.851575734231,-899.3967186855874,-895.0891405487873,-0.1905328345403733,-0.18973673918146602,-0.0005304577177393752,5.187296649785589e-07,-0.18546249492384712,-0.1846665258127017,,4.912887761195482e-32
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",1.429920752843221,0.04983162879943848,-0.016089900672260498,-1.297397300703551e-09,-1101.9472408229628,-1096.851575734231,-899.3967186855874,-895.0891405487873,-0.1905328345403733,-0.18973673918146602,-0.0005304577177393752,5.187296649785589e-07,-0.18546249492384712,-0.1846665258127017,,4.912887761195482e-32
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",1.5224099159240723,0.06877470016479492,-0.016089900672260498,-1.297397300703551e-09,-1101.9472408229628,-1096.851575734231,-899.3967186855874,-895.0891405487873,-0.1905328345403733,-0.18973673918146602,-0.0005304577177393752,5.187296649785589e-07,-0.18546249492384712,-0.1846665258127017,,4.912887761195482e-32
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.9034338792165121,0.012174050013224283,-0.015984646423470045,-0.00026904380703651753,-1101.9820410182604,-1096.9988333147032,-898.5008616006456,-894.294126767773,-0.18949608005645233,-0.18872056400242118,0.003957590054252545,0.0044854215376024945,-0.18527068517360376,-0.18450205694331726,0.24718375642993565,0.30846044112870924
