GBM,fit_time,score_time,test_R2,test_RMSE,test_MAE,test_MAPE,test_Bias%,test_WAPE%,test_Pearson-R
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 4))",0.8163542747497559,0.04801042874654134,0.622921665461423,-666.3804168081342,-485.5752164755259,-0.09708018627704684,0.009458928106696515,-0.10035903995269041,0.6419316531146796
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 4))",0.6447179317474365,0.04059823354085287,0.6229246537576928,-666.37768161768,-485.5730248284239,-0.09707961585770458,0.009459009647877782,-0.1003585879212661,0.6419318255037512
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 4))",0.4623834292093913,0.05084840456644694,0.6229254017634703,-666.3769969345584,-485.5724765566418,-0.09707947318251982,0.009459029965729055,-0.10035847483958533,0.6419318694768408
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 3))",0.6434293588002523,0.04252354303995768,0.6239332268437368,-665.3442771923998,-485.7096510895713,-0.09704197953095757,0.009641613561129816,-0.10039317831240747,0.6417045675151389
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 3))",0.6111339728037516,0.04503448804219564,0.6239402886447378,-665.3377809855183,-485.7042392160229,-0.097040570813893,0.009641819999238348,-0.10039206262998361,0.6417048049718098
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 3))",0.907541831334432,0.043041229248046875,0.6239438180521159,-665.3345341883761,-485.7015336164295,-0.09703986651884243,0.009641923371548136,-0.10039150485974208,0.6417049231662607
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 3))",0.612140417098999,0.04318396250406901,0.6239466413954026,-665.3319368206561,-485.6993685227297,-0.09703930296175572,0.009642005872010358,-0.1003910585169212,0.641705017677331
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 3))",0.6017511685689291,0.052189906438191734,0.6239473472287111,-665.3312874834774,-485.6988271939242,-0.09703916206875045,0.0096420265101722,-0.10039094691892385,0.6417050413788544
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 2))",0.7001825173695883,0.04577962557474772,0.6243219271343006,-665.0680366927321,-484.1355467134972,-0.09681180770952291,0.009113036548071074,-0.100065028755311,0.6418443209420962
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 2))",0.893727699915568,0.05988430976867676,0.6243549926983146,-665.0376407587045,-484.11009919860317,-0.0968068926834957,0.00910107342734169,-0.1000597805434816,0.6418529650823256
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 2))",0.6502888997395834,0.048700571060180664,0.6243618281560153,-665.0313573805637,-484.1049055279991,-0.09680554334454376,0.009101214475227819,-0.10005870936714105,0.6418530018864638
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 2))",0.6813897291819254,0.04425374666849772,0.6244240931497448,-664.9671341693894,-484.0547869515803,-0.09679321045256296,0.009099281031673718,-0.10004858480726375,0.6418622495101333
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 2))",0.6302204132080078,0.04555432001749674,0.6244309307217097,-664.9608461300414,-484.0495824415638,-0.09679185853603993,0.009099421446400467,-0.10004751144538847,0.641862292087899
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 2))",0.6470255057017008,0.04825528462727865,0.6244377646027401,-664.9545612525251,-484.0443776726495,-0.09679050656822219,0.009099561814715754,-0.10004643803026786,0.6418623329927492
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 2))",0.8656609853108724,0.0433043638865153,0.624503635246828,-664.9039263781682,-483.9843417191601,-0.09677272084691808,0.009118103559386267,-0.10003378237273441,0.641944799296676
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 2))",0.5532839298248291,0.05266904830932617,0.6245063700524237,-664.9014114125413,-483.98225379566765,-0.0967721779210594,0.009118161589030453,-0.10003335173920525,0.6419448163966708
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 2))",0.7617059548695883,0.048712968826293945,0.6245070539116513,-664.900782504778,-483.98173174603744,-0.09677204219987136,0.009118175968752617,-0.10003324406578495,0.6419448208669923
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 3))",0.6362299124399821,0.04322338104248047,0.6245448887773039,-664.7849047873078,-485.29530922028175,-0.09694736706327794,0.009652728302358235,-0.10030744858464131,0.6422480468776227
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 3))",0.8847765127817789,0.04719622929890951,0.6245704198763983,-664.7597895249243,-485.2765850211511,-0.09694223802350327,0.009655279580680234,-0.10030363108797147,0.6422394534520031
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 3))",0.6720345815022787,0.04200045267740885,0.6245775522119236,-664.7532304131624,-485.27107370670655,-0.0969408068076016,0.009655488537656779,-0.10030249484811297,0.6422398250528826
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 3))",0.6374247074127197,0.04669324556986491,0.6245825967771413,-664.7482552280809,-485.26629840649224,-0.09693960984494471,0.009655662701987429,-0.1003015139129221,0.6422378958331282
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 1))",0.6801284154256185,0.042855024337768555,0.6254731687772428,-664.0546194262989,-483.55233273787775,-0.09661648285520401,0.009062694950071478,-0.09994319833808707,0.6424200350258434
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 1))",0.9069043000539144,0.042707204818725586,0.6255863542776584,-663.950834218747,-483.51645667994234,-0.09660901836473562,0.009059430442186536,-0.0999359481257901,0.6424856574224322
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 1))",0.5294708410898844,0.0493617057800293,0.6255929575650211,-663.9447642744904,-483.51105452229376,-0.09660761856438005,0.009059538370268268,-0.09993483351260007,0.6424855147675679
