ANN,fit_time,score_time,test_R2,train_R2,test_RMSE,train_RMSE,test_MAE,train_MAE,test_MAPE,train_MAPE,test_Bias%,train_Bias%,test_WAPE%,train_WAPE%,test_Pearson-R,train_Pearson-R
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.10323796272277833,0.024200963973999023,-0.051119549218429004,-0.008062163888736863,-1219.8301303021817,-1229.8041239900892,-968.0567399026219,-957.4870561153123,-0.19570601532476875,-0.19360998421376885,0.019948067955558067,0.02198404493468182,-0.19308085805576256,-0.19138235486095792,0.16805978966293447,0.0904768107729986
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.09693717956542969,0.013706207275390625,-0.05111851581890572,-0.008060814159078422,-1219.8294850898114,-1229.8033010621104,-968.0561738941482,-957.4863888150367,-0.19570626321844342,-0.19361021264146233,0.019946224881847628,0.02198220639580929,-0.19308075647666184,-0.19138222200961266,0.11908240517462254,0.06583661607860072
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.09793610572814941,0.014602565765380859,-0.05058966681230137,-0.000347523679074202,-1217.8761288068097,-1225.0892942524147,-962.5428775871721,-951.1544708214972,-0.19982763559255043,-0.19758589386305817,-0.006714996970564544,-0.004615621406883361,-0.19215055199848186,-0.19012206797512432,0.10930554703093871,0.07338765133114827
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.07712445259094239,0.013208818435668946,-0.05058854239046249,-0.00034722966101607966,-1217.8757004419942,-1225.089114085071,-962.5431310760745,-951.1548160386659,-0.19982724120628026,-0.1975855161345976,-0.006712725875810108,-0.004613355708554931,-0.19215058770682708,-0.19012213654169363,0.10926908671444706,0.07334729364612465
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",0.22978014945983888,0.01360769271850586,-0.048608313580104576,-1.4223688893366671e-11,-1217.1568882889158,-1224.8764592362263,-963.011806216317,-951.8169127583312,-0.19901426943196082,-0.19680809038966815,-0.0020881019701365117,2.599326637062543e-07,-0.192213853731106,-0.19025359525652857,0.3928493037264806,0.4159572448660696
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",0.19107666015625,0.017801904678344728,-0.048608313580104576,-1.4223688893366671e-11,-1217.1568882889158,-1224.8764592362263,-963.011806216317,-951.8169127583312,-0.19901426943196082,-0.19680809038966815,-0.0020881019701365117,2.599326637062543e-07,-0.192213853731106,-0.19025359525652857,0.3928493037264806,0.4159572448660696
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",0.18666224479675292,0.012799596786499024,-0.048608313580104576,-1.4223688893366671e-11,-1217.1568882889158,-1224.8764592362263,-963.011806216317,-951.8169127583312,-0.19901426943196082,-0.19680809038966815,-0.0020881019701365117,2.599326637062543e-07,-0.192213853731106,-0.19025359525652857,0.3928493037264806,0.4159572448660696
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.40802836418151855,0.014209747314453125,-0.04798724639916392,-5.941627037495678e-05,-1216.9694926212055,-1224.9128758243608,-963.21498340525,-952.1440282705059,-0.19864962707136985,-0.19646675359801777,-2.118138137945369e-05,0.0020622835583383224,-0.19224087772226545,-0.19031849473239504,0.1010316482937342,0.06389682031487574
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.39934253692626953,0.013802862167358399,-0.047987181340169195,-5.94242693884528e-05,-1216.9694733016336,-1224.912880741041,-963.2150029682732,-952.1440611490132,-0.19864958745750733,-0.19646671647950475,-2.0959408573315714e-05,0.002062505012544747,-0.19224088017078753,-0.19031850125177044,0.10103302129623001,0.06389828846956132
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",1.0033300876617433,0.012305831909179688,-0.04745312298331115,-0.00015031521595170182,-1216.814396341481,-1224.9682337526017,-963.3708897919587,-952.4177310899051,-0.1982861437911707,-0.19612524244358548,0.0019899638734330962,0.004068446212098539,-0.1922588968382765,-0.19037273479121158,0.45851003396078943,0.5054597812947351
