GBM,fit_time,score_time,test_R2,test_RMSE,test_MAE,test_MAPE,test_Bias%,test_WAPE%,test_Pearson-R
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 0))",0.14662528038024902,0.010599946975708008,0.5658080259338486,-786.893522174895,-577.3826422688136,-0.11228833116309282,0.004156404495065491,-0.11510830270962699,0.5901215638001609
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 0))",0.3345664978027344,0.01770634651184082,0.565808041491116,-786.8934732787901,-577.3823600115677,-0.11228823750094089,0.00415642365815872,-0.11510824422666925,0.5901213338990812
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 0))",0.15623235702514648,0.011302947998046875,0.5658080960189408,-786.8941186838658,-577.4176919501903,-0.11229506440293044,0.00415194410349048,-0.11511489175296422,0.5901225446630447
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 0))",0.15553069114685059,0.01139984130859375,0.565809282375277,-786.8949032211669,-577.489875531109,-0.11231688645711782,0.0041249031228843425,-0.11512867154181865,0.5901239630081655
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 0))",0.15542783737182617,0.011199188232421876,0.5658094164321003,-786.8940125485722,-577.4253422936927,-0.11229772777579194,0.004150992550651436,-0.1151164828439187,0.5901314915201903
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 0))",0.15123696327209474,0.011805486679077149,0.5658366538761427,-786.8696981661863,-577.431403739126,-0.11230312957697315,0.004136386655569183,-0.1151176752889869,0.590155379381785
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 0))",0.1534275531768799,0.012505769729614258,0.5658368204628055,-786.8691999225144,-577.4285853339768,-0.11230219397735985,0.004136575743084103,-0.11511709124916236,0.5901530838734577
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 0.5))",0.1488260269165039,0.011200284957885743,0.565882119042479,-787.1146997395624,-577.9641385787994,-0.11233794532008375,0.003999616855221809,-0.11520838288228401,0.5908123820991381
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 0.5))",0.15383315086364746,0.011504220962524413,0.5658826246058066,-787.1139577468133,-577.9610515090078,-0.11233693764252702,0.003999836107774638,-0.11520773776918114,0.5908104543778362
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 0.5))",0.20324535369873048,0.011700582504272462,0.5658831278289431,-787.1132177924585,-577.9579643732325,-0.11233592994006211,0.004000055248939023,-0.1152070926469068,0.5908085259021396
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 0.5))",0.1605320930480957,0.011902666091918946,0.5658833792483422,-787.1128479902666,-577.9564208345222,-0.11233542609538374,0.0040001648591152066,-0.11520677008876734,0.5908075621080885
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 0.5))",0.1518326759338379,0.011201143264770508,0.5658835797293855,-787.1125526570515,-577.9551857009716,-0.11233502295658507,0.004000252548946362,-0.11520651198134313,0.5908067907820369
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 0.5))",0.21204004287719727,0.011608409881591796,0.5658836302327346,-787.1124785804766,-577.954876852474,-0.11233492216922865,0.004000274510869818,-0.11520644744230628,0.5908065981727544
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 3))",0.14743390083312988,0.011501884460449219,0.5664052780128073,-786.7945418959802,-578.0388845520522,-0.11234744004664463,0.004228135287003663,-0.11523686041037517,0.59168862445723
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 2))",0.1681373119354248,0.013701391220092774,0.5664108707937123,-786.5280524859393,-577.0588777870496,-0.11223656097457471,0.004381097077567448,-0.11505286590898686,0.5915966405749873
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 2))",0.15773067474365235,0.011206102371215821,0.5664153723877502,-786.5244585266898,-577.0590261149254,-0.11223725267409343,0.0043797496332114655,-0.11505292102386618,0.5916037399003583
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 2))",0.176735782623291,0.012103128433227538,0.5664256256870375,-786.5137110509262,-577.0315460573407,-0.11222999316121765,0.004380645137539303,-0.11504714346294014,0.591608867476736
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 3))",0.14822092056274414,0.012399911880493164,0.5664268213917424,-786.7768375344102,-578.0405231434445,-0.11234910725209028,0.004229506836628954,-0.11523739609067538,0.5917209497368796
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 3))",0.15322332382202147,0.010903072357177735,0.5664272882400916,-786.7684415754848,-577.9859022028456,-0.11233407405201837,0.004237260838158372,-0.11522615084137344,0.5917157862287199
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 3))",0.15462942123413087,0.011502218246459962,0.5664276842482785,-786.7756680887135,-578.0372230713159,-0.11234805100312957,0.004229737031107352,-0.11523671031357416,0.5917190280942685
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 3))",0.15343689918518066,0.011799955368041992,0.5664277214237832,-786.7754723740487,-578.0336814212641,-0.1123468140141672,0.004230367368557202,-0.11523597579846276,0.5917155886185754
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 3))",0.15733494758605956,0.012006521224975586,0.5664314193607595,-786.7644834679465,-577.9834218800573,-0.1123329412110134,0.004236456096771614,-0.11522563328381959,0.5917147777432461
