GBM,fit_time,score_time,test_R2,test_RMSE,test_MAE,test_MAPE,test_Bias%,test_WAPE%,test_Pearson-R
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 3))",0.6555217901865641,0.0420838991800944,0.8478325769899596,-2060.663856098158,-1543.9664265400359,-0.20799612079253318,-0.004813611182276634,-0.16606281641448462,0.8644440748897657
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 3))",0.6476016839345297,0.04935598373413086,0.8478342884311519,-2060.652441724153,-1543.961335603114,-0.20799716080949668,-0.004813610856273891,-0.16606227638038887,0.8644445669444677
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 3))",0.6345810890197754,0.046380837758382164,0.8478359999659258,-2060.6410265551035,-1543.9562443404066,-0.2079982009089959,-0.004813610479080469,-0.16606173630389334,0.8644450591593626
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 3))",0.6446264584859213,0.04241673151652018,0.8478368556823807,-2060.6353193320215,-1543.9536979805468,-0.20799872070125935,-0.0048136101162551,-0.16606146618665032,0.8644453053110678
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 3))",0.6386386553446451,0.05325055122375488,0.8478375401836274,-2060.6307539575323,-1543.9516618996013,-0.20799913687307478,-0.0048136100141420125,-0.16606125020642903,0.8644455021220442
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 3))",0.5918330351511637,0.05390604337056478,0.8478377113697649,-2060.6296122499857,-1543.951152295773,-0.20799924084484359,-0.004813610057875233,-0.16606119615079004,0.8644455513567982
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 2))",0.6291906038920084,0.045724074045817055,0.8493853181510445,-2050.168554227412,-1537.697333355024,-0.20815519105077518,-0.004980737734822108,-0.16538352768909576,0.8658867912423451
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 2))",0.6467852592468262,0.050457000732421875,0.8493928094708384,-2050.1193481019036,-1537.7260372996418,-0.20816312110835544,-0.004985795408661624,-0.16538650455058246,0.8658886964024716
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 2))",0.8582881291707357,0.04419191678365072,0.8493945542403347,-2050.107644967486,-1537.7197941885217,-0.20816410709864316,-0.0049857913070631135,-0.16538584441126494,0.8658892055186315
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 2))",0.6140886942545573,0.04519518216451009,0.8493962986907319,-2050.0959439576154,-1537.7135508741692,-0.2081650930334533,-0.004985787338051971,-0.16538518426010437,0.8658897143545027
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 2))",0.6576271851857504,0.05078935623168945,0.8493980432218161,-2050.0842422078026,-1537.7073076997965,-0.20816607895791173,-0.004985783012431165,-0.16538452411936266,0.8658902234099649
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 2))",0.6480269432067871,0.041860500971476235,0.8493997873600225,-2050.0725433073076,-1537.7010651858345,-0.20816706497768925,-0.004985779311343068,-0.1653838640471427,0.8658907322617568
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 2))",0.5794265270233154,0.04828492800394694,0.8494006593508824,-2050.0666941794166,-1537.6979438163496,-0.20816755809357076,-0.00498577715272349,-0.16538353400693098,0.8658909865855379
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 2))",0.7191094557444254,0.049794514973958336,0.8494013569610589,-2050.0620148058656,-1537.6954470340122,-0.2081679525416719,-0.004985775515502482,-0.16538327000260872,0.8658911901124875
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 2))",0.6300109227498373,0.04272230466206869,0.8494015312833222,-2050.060845494588,-1537.6948233575756,-0.208168051181032,-0.0049857750174174915,-0.16538320405871218,0.8658912409262701
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 0.5))",0.6102121671040853,0.043864806493123375,0.8496756466753531,-2048.738790750047,-1533.631950674133,-0.20953089745962697,-0.004619510027367359,-0.16490398957548816,0.8653706339911467
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 0.5))",0.6091475486755371,0.052506446838378906,0.8496839777311328,-2048.682909439838,-1533.599543106873,-0.20953592332858742,-0.004619463466149048,-0.1649005524236908,0.8653730325715087
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 0.5))",0.6288753350575765,0.04335697491963705,0.8496856434024638,-2048.6717365661575,-1533.5930617488102,-0.20953692864040693,-0.004619454215876129,-0.16489986501218584,0.865373512226728
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 0.5))",0.6208227475484213,0.0442351500193278,0.8496873089642559,-2048.660564410596,-1533.5865806542458,-0.20953793393033107,-0.004619445079426723,-0.16489917763301826,0.8653739916421647
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 0.5))",0.8402131398518881,0.05003976821899414,0.8496889743145739,-2048.649393798729,-1533.5800994707135,-0.20953893912721952,-0.004619435749287395,-0.16489849023497868,0.8653744711706381
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 0.5))",0.6130294799804688,0.04367558161417643,0.8496906396841899,-2048.6382227498175,-1533.573617733209,-0.20953994422828237,-0.004619426455563563,-0.1648978027846848,0.8653749506446734
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 0.5))",0.6320040225982666,0.04826434453328451,0.8496914721856091,-2048.632638555444,-1533.5703772411553,-0.20954044690441154,-0.00461942179187847,-0.16489745909949785,0.8653751903575496
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 0.5))",0.8562142054239908,0.04690241813659668,0.8496921383645857,-2048.628169948139,-1533.567784153801,-0.2095408489659508,-0.0046194180412312226,-0.1648971840735232,0.8653753822056593
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 0.5))",0.5409963130950928,0.05024449030558268,0.8496923048893174,-2048.6270529353424,-1533.5671361697125,-0.2095409494986695,-0.004619417106112814,-0.16489711534915275,0.8653754301486508
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 1))",0.6303818225860596,0.04339186350504557,0.850253253658785,-2044.2886481631147,-1530.2249260560802,-0.20861379471883265,-0.004935439357494942,-0.16457972380650251,0.8658038562864547
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 1))",0.6165103912353516,0.04546276728312174,0.8504597124556779,-2042.9668585272154,-1528.9867160242875,-0.20831194046178267,-0.004846268556429819,-0.16443773001187775,0.8659484505563446
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 1))",0.6371503671010336,0.05691711107889811,0.850461382305534,-2042.9556198798352,-1528.9803037325291,-0.20831294442173223,-0.004846266161899159,-0.16443705090272928,0.8659489309541547
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 1))",0.6127347946166992,0.0457921028137207,0.8504630520639487,-2042.944381841961,-1528.9738924695946,-0.20831394849693016,-0.004846263879606338,-0.16443637189137386,0.8659494114856615
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 1))",0.7321342627207438,0.04487260182698568,0.850464721709551,-2042.9331444464908,-1528.9674797079763,-0.2083149523713375,-0.004846261579636778,-0.16443569273644748,0.8659498919255898
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 1))",0.5906999905904134,0.04401477177937826,0.8504663912768016,-2042.921907628368,-1528.9610676847121,-0.2083159563521559,-0.004846259219183933,-0.1644350136430318,0.8659503724243479
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 1))",0.5761669476826986,0.04903817176818848,0.8504672259972107,-2042.9162895601778,-1528.9578612514606,-0.2083164582859098,-0.004846258002641841,-0.1644346740545703,0.8659506126658698
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 1))",0.8256520430246989,0.04466605186462402,0.850467893589277,-2042.9117963137944,-1528.955297523986,-0.20831686007047903,-0.004846257079853579,-0.16443440254278094,0.8659508046064485
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 1))",0.5772369702657064,0.052978197733561196,0.8504680605028104,-2042.9106729105245,-1528.9546561848085,-0.20831696032886515,-0.004846256755581963,-0.16443433461802934,0.8659508526811776
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 0))",0.61142897605896,0.050739685694376625,0.8506899110568366,-2042.2277088511391,-1526.1920974647203,-0.20900179048104195,-0.004490447455704357,-0.16410496399976798,0.8659634375178363
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 0))",0.6419193744659424,0.04672447840372721,0.8506979598271253,-2042.1735374443826,-1526.1678933387523,-0.2090081755481863,-0.0044904501327857295,-0.1641024263524703,0.8659657680108573
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 0))",0.6660386721293131,0.04204638799031576,0.8506995691847513,-2042.1627056734749,-1526.1630514157175,-0.20900945243068067,-0.0044904505824724305,-0.16410191870987553,0.8659662340311008
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 0))",0.646026611328125,0.04239074389139811,0.8507011783136926,-2042.1518754132228,-1526.15821086756,-0.20901072947053945,-0.004490451101934898,-0.16410141120873423,0.8659666999831069
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 0))",0.8453769683837891,0.04738664627075195,0.8507027873103591,-2042.1410459578465,-1526.1533696942204,-0.20901200636628892,-0.0044904515272581385,-0.16410090364001953,0.8659671658777001
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 0))",0.6344950993855795,0.04329562187194824,0.8507043961833854,-2042.1302173406282,-1526.1485297411016,-0.20901328355016877,-0.004490452126577914,-0.16410039620753017,0.8659676317335859
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 0))",0.6638737519582113,0.04667544364929199,0.8507052004594365,-2042.1248040294583,-1526.1461090841024,-0.20901392208244032,-0.004490452432524969,-0.16410014241911627,0.8659678646488472
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 0))",0.652671734491984,0.059210618336995445,0.8507058440292581,-2042.1204724569088,-1526.1441720858159,-0.2090144327584514,-0.004490452702646436,-0.1640999393311687,0.8659680510306168
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 0))",0.3543696403503418,0.04137277603149414,0.8507060047984187,-2042.1193903412538,-1526.1436888559676,-0.2090145605031228,-0.004490452681389681,-0.16409988867116176,0.8659680976222403
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 0.1))",0.6813682715098063,0.04587594668070475,0.8507501134854513,-2041.5770977402208,-1529.5473090657233,-0.2094855288939079,-0.004716789035090843,-0.16446781221635734,0.8658883982499286
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 0.1))",0.5909989674886068,0.04718335469563802,0.8507615389565055,-2041.4974694280843,-1529.6073058860095,-0.2094966090693667,-0.0047200270260903815,-0.1644740590526349,0.865894169929391
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 0.1))",0.6505630016326904,0.04523158073425293,0.8507631364686352,-2041.4867155118916,-1529.601151308684,-0.20949767257024168,-0.004720024329130106,-0.1644734065133834,0.8658946085634686
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 0.1))",0.6437277793884277,0.04333368937174479,0.8507647337782869,-2041.475962881298,-1529.5949971582668,-0.20949873630183813,-0.004720021808337937,-0.16447275402756079,0.865895047023067
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 0.1))",0.8636565208435059,0.0498963197072347,0.8507663311756853,-2041.4652096963782,-1529.5888411605908,-0.20949979971747565,-0.004720018981741694,-0.1644721013258765,0.8658954858078083
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 0.1))",0.6259662310282389,0.04484121004740397,0.8507679284345442,-2041.4544573546962,-1529.5826855588884,-0.20950086322602693,-0.00472001634787508,-0.16447144867571617,0.865895924558556
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 0.1))",0.6493431727091471,0.04200879732767741,0.8507687268477473,-2041.4490826930257,-1529.5796083882904,-0.20950139499820344,-0.00472001495316183,-0.16447112241395506,0.8658961436700755
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 0.1))",0.8107667764027914,0.07134572664896648,0.8507693655714492,-2041.444782944541,-1529.577146471798,-0.20950182029022704,-0.004720013954173833,-0.1644708613887225,0.865896319087477
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 0.1))",0.4935469627380371,0.047441720962524414,0.8507695253682878,-2041.4437072171033,-1529.5765303686737,-0.20950192676453053,-0.004720013668935656,-0.1644707960664411,0.8658963629836087
"(('regressor num_leaves', 8), ('regressor reg_alpha', 5), ('regressor reg_lambda', 10))",1.6796212196350098,0.045349438985188804,0.9040599413160639,-1630.5878525744101,-1156.7773602665268,-0.14563170162036834,-0.0059743109942639325,-0.12477154785887638,0.916394633999536
"(('regressor num_leaves', 16), ('regressor reg_alpha', 5), ('regressor reg_lambda', 10))",1.456941286722819,0.04920339584350586,0.9040599413160639,-1630.5878525744101,-1156.7773602665268,-0.14563170162036834,-0.0059743109942639325,-0.12477154785887638,0.916394633999536
"(('regressor num_leaves', 32), ('regressor reg_alpha', 5), ('regressor reg_lambda', 10))",1.469676415125529,0.07137274742126465,0.9040599413160639,-1630.5878525744101,-1156.7773602665268,-0.14563170162036834,-0.0059743109942639325,-0.12477154785887638,0.916394633999536
"(('regressor num_leaves', 128), ('regressor reg_alpha', 5), ('regressor reg_lambda', 10))",1.6837143103281658,0.052209695180257164,0.9040599413160639,-1630.5878525744101,-1156.7773602665268,-0.14563170162036834,-0.0059743109942639325,-0.12477154785887638,0.916394633999536
"(('regressor num_leaves', 256), ('regressor reg_alpha', 5), ('regressor reg_lambda', 10))",1.5095398426055908,0.04387648900349935,0.9040599413160639,-1630.5878525744101,-1156.7773602665268,-0.14563170162036834,-0.0059743109942639325,-0.12477154785887638,0.916394633999536
"(('regressor num_leaves', 64), ('regressor reg_alpha', 5), ('regressor reg_lambda', 10))",1.6547327041625977,0.045682271321614586,0.9040599413160639,-1630.5878525744101,-1156.7773602665268,-0.14563170162036834,-0.0059743109942639325,-0.12477154785887638,0.916394633999536
"(('regressor num_leaves', 4), ('regressor reg_alpha', 5), ('regressor reg_lambda', 10))",0.9600962003072103,0.0472250779469808,0.9040599413160639,-1630.5878525744101,-1156.7773602665268,-0.14563170162036834,-0.0059743109942639325,-0.12477154785887638,0.916394633999536
"(('regressor num_leaves', 512), ('regressor reg_alpha', 5), ('regressor reg_lambda', 10))",1.889905293782552,0.04837965965270996,0.9040599413160639,-1630.5878525744101,-1156.7773602665268,-0.14563170162036834,-0.0059743109942639325,-0.12477154785887638,0.916394633999536
"(('regressor num_leaves', 32), ('regressor reg_alpha', 4), ('regressor reg_lambda', 10))",1.8913122812906902,0.06320412953694661,0.9040618399894923,-1630.5720363737612,-1156.767938527296,-0.14562982286595075,-0.005973845601898893,-0.12477053838505842,0.9163955575194741
"(('regressor num_leaves', 128), ('regressor reg_alpha', 4), ('regressor reg_lambda', 10))",2.0151169300079346,0.05109922091166178,0.9040618399894923,-1630.5720363737612,-1156.767938527296,-0.14562982286595075,-0.005973845601898893,-0.12477053838505842,0.9163955575194741
"(('regressor num_leaves', 8), ('regressor reg_alpha', 4), ('regressor reg_lambda', 10))",1.6517733732859294,0.045426368713378906,0.9040618399894923,-1630.5720363737612,-1156.767938527296,-0.14562982286595075,-0.005973845601898893,-0.12477053838505842,0.9163955575194741
"(('regressor num_leaves', 4), ('regressor reg_alpha', 4), ('regressor reg_lambda', 10))",1.0346310138702393,0.04137961069742838,0.9040618399894923,-1630.5720363737612,-1156.767938527296,-0.14562982286595075,-0.005973845601898893,-0.12477053838505842,0.9163955575194741
"(('regressor num_leaves', 16), ('regressor reg_alpha', 4), ('regressor reg_lambda', 10))",1.671569029490153,0.044052839279174805,0.9040618399894923,-1630.5720363737612,-1156.767938527296,-0.14562982286595075,-0.005973845601898893,-0.12477053838505842,0.9163955575194741
"(('regressor num_leaves', 512), ('regressor reg_alpha', 4), ('regressor reg_lambda', 10))",1.5387179056803386,0.04652873675028483,0.9040618399894923,-1630.5720363737612,-1156.767938527296,-0.14562982286595075,-0.005973845601898893,-0.12477053838505842,0.9163955575194741
"(('regressor num_leaves', 256), ('regressor reg_alpha', 4), ('regressor reg_lambda', 10))",1.4916369120279949,0.04786547025044759,0.9040618399894923,-1630.5720363737612,-1156.767938527296,-0.14562982286595075,-0.005973845601898893,-0.12477053838505842,0.9163955575194741
"(('regressor num_leaves', 64), ('regressor reg_alpha', 4), ('regressor reg_lambda', 10))",1.6515073776245117,0.04900876681009928,0.9040618399894923,-1630.5720363737612,-1156.767938527296,-0.14562982286595075,-0.005973845601898893,-0.12477053838505842,0.9163955575194741
"(('regressor num_leaves', 512), ('regressor reg_alpha', 3), ('regressor reg_lambda', 10))",1.6926162242889404,0.04537701606750488,0.9040637347769627,-1630.5562529426768,-1156.758498664322,-0.14562792785243803,-0.005973379777731287,-0.12476952705649791,0.9163964837448457
"(('regressor num_leaves', 16), ('regressor reg_alpha', 3), ('regressor reg_lambda', 10))",1.7183717886606853,0.0445870558420817,0.9040637347769627,-1630.5562529426768,-1156.758498664322,-0.14562792785243803,-0.005973379777731287,-0.12476952705649791,0.9163964837448457
"(('regressor num_leaves', 256), ('regressor reg_alpha', 3), ('regressor reg_lambda', 10))",1.343523343404134,0.07212893168131511,0.9040637347769627,-1630.5562529426768,-1156.758498664322,-0.14562792785243803,-0.005973379777731287,-0.12476952705649791,0.9163964837448457
"(('regressor num_leaves', 8), ('regressor reg_alpha', 3), ('regressor reg_lambda', 10))",1.4775759379069011,0.04486695925394694,0.9040637347769627,-1630.5562529426768,-1156.758498664322,-0.14562792785243803,-0.005973379777731287,-0.12476952705649791,0.9163964837448457
"(('regressor num_leaves', 32), ('regressor reg_alpha', 3), ('regressor reg_lambda', 10))",3.8169904549916587,0.05360515912373861,0.9040637347769627,-1630.5562529426768,-1156.758498664322,-0.14562792785243803,-0.005973379777731287,-0.12476952705649791,0.9163964837448457
"(('regressor num_leaves', 64), ('regressor reg_alpha', 3), ('regressor reg_lambda', 10))",1.4390935103098552,0.044040282567342125,0.9040637347769627,-1630.5562529426768,-1156.758498664322,-0.14562792785243803,-0.005973379777731287,-0.12476952705649791,0.9163964837448457
"(('regressor num_leaves', 4), ('regressor reg_alpha', 3), ('regressor reg_lambda', 10))",0.9959761301676432,0.050053675969441734,0.9040637347769627,-1630.5562529426768,-1156.758498664322,-0.14562792785243803,-0.005973379777731287,-0.12476952705649791,0.9163964837448457
