ANN,fit_time,score_time,test_R2,train_R2,test_RMSE,train_RMSE,test_MAE,train_MAE,test_MAPE,train_MAPE,test_Bias%,train_Bias%,test_WAPE%,train_WAPE%,test_Pearson-R,train_Pearson-R
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (10, 10)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.12678893407185873,0.04222663243611654,-0.019231933966914545,-0.0001502376528077498,-5340.4993410983225,-5310.401308991452,-4520.794076900357,-4484.425714192933,-0.827617791270589,-0.8213920946380425,-0.05159355250446176,-0.047609631076937324,-0.48606476811500815,-0.4812941974558447,0.08329199135663556,0.07526295601396302
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (10, 10)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.1499004364013672,0.04438487688700358,-0.01922990286942165,-0.00014817912401162334,-5340.494015466539,-5310.39586699843,-4520.792084889833,-4484.424669369989,-0.8276185889277575,-0.8213929669400976,-0.051595933542878,-0.047612004203334744,-0.48606455649530683,-0.4812940840900901,0.08329432565970218,0.07526517336959747
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.26306788126627606,0.04387036959330241,-0.01836721107602039,-0.0003463712595375146,-5339.737033316589,-5310.8613693276,-4476.849652031804,-4437.754667758132,-0.7961504355584724,-0.7897704186457011,-0.014622687300953195,-0.010745909306719417,-0.48113750641976294,-0.47625519258993804,0.09442408476106345,0.09484472386053915
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.2701276143391927,0.04822699228922526,-0.01836669045350292,-0.0003460383469668926,-5339.735932375707,-5310.860485372014,-4476.841048952545,-4437.746113250651,-0.7961447472145017,-0.7897647502433977,-0.014616559411905733,-0.01073979886722757,-0.48113654106637704,-0.47625426982913516,0.09439266166293798,0.0948138059196676
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",0.9736060301462809,0.05647595723470052,-0.017694475330136534,-1.717779252174978e-10,-5338.419327474777,-5309.941814860212,-4461.925273164015,-4422.816950341871,-0.7861385197854148,-0.7797815755128402,-0.003842942968601895,3.6130060494412883e-06,-0.47946067993491287,-0.4746437252025712,,0.47592172931345084
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",1.0054604212443035,0.05209827423095703,-0.017694475330136534,-1.717779252174978e-10,-5338.419327474777,-5309.941814860212,-4461.925273164015,-4422.816950341871,-0.7861385197854148,-0.7797815755128402,-0.003842942968601895,3.6130060494412883e-06,-0.47946067993491287,-0.4746437252025712,,0.47592172931345084
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",1.0102377732594807,0.051101128260294594,-0.017694475330136534,-1.717779252174978e-10,-5338.419327474777,-5309.941814860212,-4461.925273164015,-4422.816950341871,-0.7861385197854148,-0.7797815755128402,-0.003842942968601895,3.6130060494412883e-06,-0.47946067993491287,-0.4746437252025712,,0.47592172931345084
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",1.4666754404703777,0.05305806795756022,-0.017607052087232233,-5.833078923152731e-05,-5338.377276444952,-5310.096724502438,-4455.645651550066,-4417.016773228468,-0.7817082395196184,-0.7754130999495666,0.0009674385012443734,0.004800155940695865,-0.47875205986758784,-0.4740178630989307,0.07388662390095707,0.07398880272323242
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",1.2823914686838787,0.04618589083353678,-0.01760704265655466,-5.8339361116580925e-05,-5338.3772746008435,-5310.096747293112,-4455.644855506809,-4417.016057628196,-0.781707685037056,-0.7754125553935728,0.0009680367350513563,0.0048007525002544925,-0.478751970124527,-0.47401778592726074,0.07388760443047633,0.07398977321292248
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",3.3201723098754883,0.04500206311543783,-0.017595121370040562,-0.00020852890126543677,-5338.587428663676,-5310.495820029555,-4446.938053374096,-4409.250047769559,-0.7756926039683333,-0.7695006490251038,0.007439780035524528,0.011257193372265021,-0.4777707733699726,-0.47318059936873774,0.5062741951683307,0.6012486229462732
